alllocation,lon,lat
สุขุมวิท,100.5614498,13.7385283
ม.เกษตร,100.5622068,13.8479801
โรงแรมซีเค,100.563769,13.784819
ปู่เจ้าสมิงพราย,100.5655885,13.648699
อินทามระ ซ.47,100.5705055,13.7854204
คริสตัลโฮเตล,100.57109,13.774295
พหลโยธิน ซ.52,100.5716084,13.8234432
พหลโยธิน ซ.44,100.572415,13.8220667
โรงแรมวัฒนา,100.572925,13.786388
งามวงศ์วาน,100.5735726,13.839807
ห้วยขวาง,100.5739529,13.7790391
สุทธิสาร,100.5744066,13.7890148
ประชาราษฎ์บำเพ็ญ,100.5760456,13.778416
หลักสี่,100.5774799,13.8841935
ลาดพร้าว ซ.18,100.5781878,13.8011514
ลาดพร้าว ซ.114,100.5790876,13.8012249
เกษตรนวมินทร์,100.5795803,13.8401412
วงเวียนบางเขน,100.57972,13.8641559
สุขุมวิท ซ.107,100.5797391,13.7282672
ศรีสมาน,100.5798061,13.9503516
วิภาวดี,100.5798768,13.8764757
สุขุมวิท ซ.103,100.5801092,13.7279873
กรมป่าไม้,100.5804726,13.8482306
ม.กรุงเทพ,100.5805363,13.7121554
ลาดพร้าว ซ.115,100.5809508,13.7987108
ม.กรุงเทพรังสิต,100.581955,13.711375
ลาดพร้าว,100.5824258,13.808117
ทองหล่อ,100.5825355,13.7339984
สรงประภา,100.5825655,13.9332942
ลาดพร้าว ซ.80,100.5827003,13.798475
ม.ศรีปทุม,100.5844151,13.8549925
สุขุมวิท ซ.76,100.5852665,13.7259897
รัชดา,100.58584,13.778169
ม.รังสิต,100.5861424,13.9656101
ประชาราษฎ์บำเพ็ญ ซ.26,100.5886308,13.7813438
พระโขนง,100.5912344,13.7152036
สุขุมวิท ซ.77,100.5958632,13.7147194
สุขุมวิท ซ.71,100.5959404,13.7272025
โชคชัย 4,100.596341,13.811309
สุขุมวิท ซ.50,100.5965657,13.7142699
สำโรง,100.596766,13.650032
ปากน้ำ,100.5998319,13.5990961
สมุทรปราการ,100.5998319,13.5990961
โรบินสันปากน้ำ,100.5998319,13.5990961
รัชดา ซ.7,100.6005145,13.8169454
รามคำแหง ซ.65,100.6007577,13.7447089
อ่อนนุช,100.6010774,13.7055818
BTS อ่อนนุช,100.6011104,13.7058594
ลาดพร้าว ซ.9,100.6012127,13.8180375
BTS บางนา,100.6016319,13.6609863
ดอนเมือง,100.6038701,13.9245384
พหลโยธิน,100.604179,13.88126
โรบินสันบางนา,100.6048034,13.6682906
บางนา,100.6048034,13.6682906
โลตัสบางนา,100.6048034,13.6682906
รัชดา ซ.17,100.6068784,13.8156943
ห้วยขวาง ซ.17,100.6068784,13.8156943
สะพานใหม่,100.609437,13.8968953
อุดมสุข,100.6095905,13.6799151
ไบเทคบางนา,100.6101543,13.6694549
รามคำแหง ซ.81,100.6107229,13.7579785
รัชโยธิน,100.610878,13.8202543
สะพานใหม่ ซ.50,100.611186,13.889078
บิ๊กซีลาดพร้าว,100.612367,13.785789
สวนหลวง,100.6129534,13.7194781
โลตัสเลียบทางด่วนรามอินทรา,100.614051,13.801804
บางเขน,100.614128,13.865718
สงขลา,100.614347,7.1756004
ลาดพร้าว ซ.94,100.615557,13.7765923
ดอนเมือง/รังสิต,100.615561,13.940476
เมเจอร์รังสิต,100.6166641,13.9870816
ด่านสำโรง,100.6175714,13.6366611
รังสิต-คลองหลวง,100.6179542,14.0044429
รังสิตคลองหลวง,100.6179542,14.0044429
ประตูน้ำพระอินทร,100.617965,14.146329
รัชดา ซ.14,100.6187094,13.8339952
รามคำแหง,100.618836,13.756339
ลาดพร้าว ซ.122,100.619003,13.7766334
ลาดพร้าว ซ.112,100.619003,13.7766334
ลาดพร้าว ซ.81,100.6210885,13.7872129
ลาดพร้าว ซ.83,100.6211668,13.7872105
ลาดพร้าว ซ.130,100.6213592,13.7869758
ลาดพร้าว ซ.128,100.6214179,13.786979
ลาดพร้าว ซ.101,100.6214777,13.7872401
ลาดพร้าว ซ.107,100.6215903,13.7872506
แบริ่ง ซ.4,100.6217926,13.6448008
แบริ่ง,100.6217926,13.6448008
ฟู๊ดแลนด์ลาดพร้าว,100.6243621,13.8602694
เรวดี,100.6274501,13.7973471
รังสิตนครนายก ซ.20,100.6280603,13.9752573
ลาดพร้าว ซ.128/2,100.6290235,13.7738876
สุขุมวิท ซ.93,100.6296559,13.6597161
อ่อนนุช ซ.44,100.630509,13.7032472
เทศบาลรังสิต,100.6341355,13.98776
อ่อนนุช ซ.46,100.6343016,13.7107563
เซ็นทรัลบางนา,100.6344841,13.6683292
รามอินทรา ซ.45/1,100.6355538,13.8544879
เลียบทางด่วนรามอินทรา,100.638398,13.848173
แฮปปี้แลนด์,100.6390735,13.7844138
รามอินทรา ซ.60,100.6419681,13.841658
รามอินทรา,100.6426376,13.838732
รามคำแหง ซ.50,100.642899,13.762263
ศรีนครินทร์,100.645904,13.678883
วัชรพล,100.6464678,13.8624145
โลตัสศรีนครินทร์,100.6470815,13.6927889
รามอินทรา ซ.19,100.6472403,13.8451196
บางกะปิ,100.6473885,13.7650282
ซีคอนสแควร์,100.648164,13.6935189
นวมินทร์,100.64883,13.801073
รังสิตนครนายก ซ.49,100.6513234,13.9984702
รังสิต-นครนายก ซ.49,100.6513234,13.9984702
บางปู,100.65297,13.520989
รังสิตคลอง 1,100.6551631,13.94832
เทพารักษ์,100.655354,13.616539
คลองหลวง,100.658511,14.073996
คลองตัน,100.6602794,13.6268923
สวนหลวง ร.9,100.66054,13.689014
สุขาภิบาล 3,100.660681,13.769822
นวมินทร์ ซ.88,100.6612194,13.8271045
นวมินทร ซ.94,100.6613779,13.8309118
นวมินทร์ ซ.96,100.6614524,13.8333475
เมืองเอก,100.6642596,13.5294559
รังสิตคลอง 2,100.6644859,14.0244121
รามอินทรา ซ.58,100.665327,13.8316502
เสรีไท ซ.43,100.6660138,13.7877279
รามอินทรา กม.2,100.6668231,13.9020406
โลตัสอ่อนนุช,100.671517,13.722946
แฟชั่นไอซ์แลนด์,100.6764819,13.8248997
เมกาบางนา,100.6798071,13.6486083
รามคำแหง 2,100.682854,13.6660906
สายไหม,100.683202,13.9213159
ลำลูกกาคลอง 2,100.6841965,13.9804792
ธัญบุรีคลอง 1,100.6843535,13.9905591
ลาดสวาย,100.6867022,13.9328092
ลำลูกกาคลอง 4,100.6897349,13.9743888
รามอินทรา ซ.37,100.6911551,13.8125721
รามอินทรา ซ.33,100.6914092,13.812415
รามอินทรา ซ.18,100.6928479,13.8130705
ประเวศ,100.696063,13.71579
อ่อนนุช ซ.10,100.696431,13.7445277
บางพลี,100.7110081,13.6317686
ลำลูกกา,100.7235473,13.9290033
ลำลูกกาคลอง 7,100.7235473,13.9290033
บางขุนเทียน,100.7236972,13.5070897
เคหะร่มเกล้า,100.7266342,13.7622947
มีนบุรี,100.731339,13.8130488
รามอินทรา ซ.14,100.7321857,13.8001492
ลำลูกกาคลอง 3,100.7346465,13.9431185
รังสิต,100.7379706,14.0173141
รังสิตคลอง 6,100.7399777,14.0207233
กิ่งแก้ว,100.740713,13.719454
ร่มเกล้า,100.746237,13.770999
ลาดกระบัง,100.7486314,13.7277339
สุวรรณภูมิ,100.7522662,13.6980931
ธัญบุรี,100.8273123,14.0542117
พัทยากลาง,100.881944,12.935556
พัทยา,100.8966652,12.9499331
บางแสน,100.911884,13.2911077
รังสิต-นครนายก,100.9198538,14.0861947
รังสิตนครนายก,100.9198538,14.0861947
ชลบุรี,100.9846717,13.3611431
ฉะเชิงเทรา,101.0779596,13.6904194
นครนายก,101.2130511,14.2069466
สุขาภิบาล 5,101.3470289,13.7473367
ปราจีนบุรี,101.6600874,14.0420699
โคราช,102.0977693,14.9798997
ขอนแก่น,102.8359921,16.4419355
BTS,NA,NA
MRT,NA,NA
Airport Link,NA,NA
